0.0184239 0.417547 1464
0.417547 0.81667 3122
0.81667 1.21579 4588
1.21579 1.61492 5836
1.61492 2.01404 6464
2.01404 2.41316 7742
2.41316 2.81229 8594
2.81229 3.21141 9332
3.21141 3.61053 10574
3.61053 4.00965 11916
4.00965 4.40878 12522
4.40878 4.8079 13302
4.8079 5.20702 13394
5.20702 5.60615 14078
5.60615 6.00527 14640
6.00527 6.40439 15498
6.40439 6.80352 15450
6.80352 7.20264 15776
7.20264 7.60176 16368
7.60176 8.00088 16394
8.00088 8.40001 16606
8.40001 8.79913 16786
8.79913 9.19825 17244
9.19825 9.59738 17638
9.59738 9.9965 17958
9.9965 10.3956 18324
10.3956 10.7947 18826
10.7947 11.1939 19148
11.1939 11.593 19282
11.593 11.9921 19292
11.9921 12.3912 19492
12.3912 12.7904 19584
12.7904 13.1895 19452
13.1895 13.5886 19504
13.5886 13.9877 19130
13.9877 14.3869 19996
14.3869 14.786 19698
14.786 15.1851 19436
15.1851 15.5842 19984
15.5842 15.9833 19374
15.9833 16.3825 19328
16.3825 16.7816 18586
16.7816 17.1807 18198
17.1807 17.5798 18162
17.5798 17.979 17696
17.979 18.3781 17980
18.3781 18.7772 17876
18.7772 19.1763 17448
19.1763 19.5755 16204
19.5755 19.9746 15386
19.9746 20.3737 13874
20.3737 20.7728 12956
20.7728 21.1719 12082
21.1719 21.5711 11214
21.5711 21.9702 10802
21.9702 22.3693 10336
22.3693 22.7684 9690
22.7684 23.1676 9510
23.1676 23.5667 8862
23.5667 23.9658 8496
23.9658 24.3649 8046
24.3649 24.7641 7584
24.7641 25.1632 7076
25.1632 25.5623 6642
25.5623 25.9614 6336
25.9614 26.3605 6082
26.3605 26.7597 5976
26.7597 27.1588 5474
27.1588 27.5579 5142
27.5579 27.957 4982
27.957 28.3562 4928
28.3562 28.7553 4464
28.7553 29.1544 4220
29.1544 29.5535 4010
29.5535 29.9527 3610
29.9527 30.3518 3512
30.3518 30.7509 3278
30.7509 31.15 3006
31.15 31.5491 2876
31.5491 31.9483 2546
31.9483 32.3474 2308
32.3474 32.7465 2332
32.7465 33.1456 2060
33.1456 33.5448 1974
33.5448 33.9439 1760
33.9439 34.343 1598
34.343 34.7421 1402
34.7421 35.1413 1320
35.1413 35.5404 1062
35.5404 35.9395 988
35.9395 36.3386 770
36.3386 36.7377 736
36.7377 37.1369 640
37.1369 37.536 568
37.536 37.9351 438
37.9351 38.3342 334
38.3342 38.7334 224
38.7334 39.1325 112
39.1325 39.5316 74
39.5316 39.9307 14
